Country.Name,E2010,E2011,E2012,E2013,E2014,E2015,E2016,E2017
Paraguay,59614681860,63445983129,64314563840,70951911070,75808388047,78979191676,83286395428,89077357209
West Bank and Gaza,14907024208,17107576520,18531372869,19274712953,19603647324,20492621521,21692146591,22798598614
Pacific island small states,10361478422,11000142955,11402093868,11962646587,12716015227,13356156645,13941517982,14811065585
Post-demographic dividend,4.06E+13,4.22E+13,4.35E+13,4.53E+13,4.68E+13,4.82E+13,4.97E+13,5.20E+13
Qatar,2.18E+11,2.52E+11,2.69E+11,2.86E+11,3.03E+11,3.18E+11,3.28E+11,3.40E+11
Romania,3.44E+11,3.61E+11,3.80E+11,3.96E+11,4.11E+11,4.29E+11,4.70E+11,5.21E+11
Russian Federation,2.93E+12,3.48E+12,3.69E+12,3.77E+12,3.76E+12,3.52E+12,3.53E+12,3.78E+12
Rwanda,13732137700,15110215757,16758336939,17856206646,19581244010,21545663391,23084077091,24947828862
South Asia,6.74E+12,7.23E+12,7.77E+12,8.38E+12,9.14E+12,9.92E+12,1.08E+13,1.18E+13
Saudi Arabia,1.22E+12,1.37E+12,1.47E+12,1.54E+12,1.62E+12,1.71E+12,1.76E+12,1.78E+12
Sudan,1.47E+11,1.47E+11,1.50E+11,1.60E+11,1.67E+11,1.77E+11,1.87E+11,1.99E+11
Senegal,34470699912,35703977717,38250880671,40020575634,43474382615,46737001515,50251358109,54833442984
Singapore,3.63E+11,3.94E+11,4.20E+11,4.47E+11,4.74E+11,4.93E+11,5.13E+11,5.42E+11
Solomon Islands,967480297.9,1118021979,1191371028,1248863328,1301122655,1348467478,1410334229,1487935001
Sierra Leone,7591812782,8239839598,9672812098,11881524097,12657966588,10158056124,10890981977,11565352170
El Salvador,38045886510,40322498611,42252460030,43955144235,45553149512,47142946260,48853482644,50931018430
San Marino,2250839447,2080937193,1960753778,1934656845,1953517124,1986253337,2052148940,2122523062
Serbia,93310870855,99446628579,1.00E+11,1.05E+11,1.05E+11,1.06E+11,1.10E+11,1.15E+11
Sub-Saharan Africa (excluding high income),2.80E+12,2.99E+12,3.17E+12,3.40E+12,3.63E+12,3.79E+12,3.89E+12,4.07E+12
Sub-Saharan Africa,2.80E+12,2.99E+12,3.17E+12,3.40E+12,3.64E+12,3.79E+12,3.89E+12,4.07E+12
Small states,6.64E+11,7.25E+11,7.64E+11,8.01E+11,8.36E+11,8.66E+11,8.91E+11,9.26E+11
Sao Tome and Principe,452226660.4,481978560.4,506656263.7,540370213.8,586656932.2,615452157.3,648142078.2,686029522.3
Suriname,7323921720,7914263444,8283051968,8675655081,8862374983,8651607280,8259820883,8558820521
Slovak Republic,1.35E+11,1.39E+11,1.44E+11,1.51E+11,1.57E+11,1.61E+11,1.68E+11,1.76E+11
Slovenia,56826357197,59131529881,59453701345,61380032249,63600935156,65301399843,68526348293,74706917047
Sweden,3.90E+11,4.14E+11,4.26E+11,4.39E+11,4.52E+11,4.75E+11,4.87E+11,5.17E+11
Eswatini,8596974792,8973786732,9577386260,10371221660,10771492108,10929257093,11404814905,11839273856
Seychelles,1790769280,1972370137,2035542364,2195914701,2338251744,2479938688,2619951064,2785414459
Chad,22416915464,22904148163,25416911748,27337146045,29776280089,30927613681,29309973474,28974454320
East Asia & Pacific (IDA & IBRD countries),1.71E+13,1.89E+13,2.07E+13,2.26E+13,2.45E+13,2.64E+13,2.84E+13,3.08E+13
Europe & Central Asia (IDA & IBRD countries),6.96E+12,7.89E+12,8.34E+12,8.71E+12,8.98E+12,8.98E+12,9.21E+12,9.88E+12
Togo,7812030088,8485486067,9214122080,9948904576,10737304620,11475346245,12171402346,12954602664
Thailand,8.88E+11,9.14E+11,9.99E+11,1.04E+12,1.07E+12,1.12E+12,1.17E+12,1.24E+12
Tajikistan,15766419995,17286955073,18937444009,20695759589,22501408546,24108431841,26047146785,28564098681
Turkmenistan,49544281468,58014358232,65690081451,73660861581,82785052821,89108877815,95668470994,1.04E+11
Latin America & the Caribbean (IDA & IBRD countries),7.67E+12,8.27E+12,8.67E+12,9.06E+12,9.35E+12,9.46E+12,9.56E+12,9.96E+12
Timor-Leste,9646197981,10976037966,11748455480,10629314304,8024556581,9783178354,9960055057,9220301265
Middle East & North Africa (IDA & IBRD countries),3.87E+12,3.93E+12,4.10E+12,4.25E+12,4.42E+12,4.52E+12,4.91E+12,5.15E+12
Tonga,508418596.7,533494964.6,548567513.1,540775375.6,562426453.5,589540362.7,616128365.3,644791264
South Asia (IDA & IBRD),6.74E+12,7.23E+12,7.77E+12,8.38E+12,9.14E+12,9.92E+12,1.08E+13,1.18E+13
Sub-Saharan Africa (IDA & IBRD countries),2.80E+12,2.99E+12,3.17E+12,3.40E+12,3.64E+12,3.79E+12,3.89E+12,4.07E+12
Trinidad and Tobago,40668093304,41395401723,42735223715,44357504917,44758435445,46041319260,43515095891,43499718859
Tunisia,1.09E+11,1.09E+11,1.15E+11,1.21E+11,1.27E+11,1.30E+11,1.33E+11,1.38E+11
Turkey,1.26E+12,1.44E+12,1.54E+12,1.69E+12,1.85E+12,2.01E+12,2.09E+12,2.26E+12
Tuvalu,30806737.5,33814047.79,33140653.31,35265651.5,36417218.52,40171835.34,41843559.78,44384557.4
Tanzania,93982693991,1.03E+11,1.10E+11,1.20E+11,1.30E+11,1.39E+11,1.51E+11,1.64E+11
Uganda,50358862771,56239143509,59517267630,62734038312,67184895622,71426061391,75659346318,80075755458
Ukraine,3.52E+11,3.79E+11,3.87E+11,3.93E+11,3.75E+11,3.42E+11,3.54E+11,3.69E+11
Upper middle income,3.00E+13,3.30E+13,3.54E+13,3.78E+13,4.01E+13,4.18E+13,4.41E+13,4.72E+13
Uruguay,56463651175,60618737181,63967246292,68108383014,71644540918,72679122061,74715447126,78108553378
United States,1.50E+13,1.55E+13,1.62E+13,1.68E+13,1.75E+13,1.82E+13,1.87E+13,1.95E+13
Uzbekistan,1.19E+11,1.31E+11,1.45E+11,1.59E+11,1.74E+11,1.88E+11,2.02E+11,2.15E+11
St. Vincent and the Grenadines,1061742586,1079375927,1115284413,1155660561,1191815683,1220721115,1258448520,1293396509
Vietnam,3.82E+11,4.14E+11,4.44E+11,4.77E+11,5.15E+11,5.55E+11,5.96E+11,6.49E+11
Vanuatu,682351771,705126498.6,731260266.3,758745551.3,791121205.8,793175597.7,833927748,888024689
World,8.91E+13,9.51E+13,1.00E+14,1.06E+14,1.11E+14,1.16E+14,1.21E+14,1.29E+14
Samoa,984913204.9,1063589611,1088346408,1086029529,1122032217,1150486090,1246452120,1304499220
Kosovo,13761222790,14724783186,15441692532,16251819459,16757678218,17630347701,18546149720,19697689282
"Yemen, Rep.",1.04E+11,92285415712,96306045016,1.03E+11,1.04E+11,87975910371,76823303515,73631685331
South Africa,6.01E+11,6.33E+11,6.60E+11,6.88E+11,7.14E+11,7.31E+11,7.45E+11,7.67E+11
Zambia,44488769320,47945443548,52577537616,56207007057,59959700256,62370347792,65421373556,68933607044
Zimbabwe,23980497316,27956299245,33240849287,34497128161,35985261667,37017407957,37705065648,40229128006
