Country.Name,C2010,C2011,C2012,C2013,C2014,C2015,C2016,C2017
New Zealand,6.55700016,6.491000175,6.931000233,6.264999866,5.751999855,5.365200043,5.099999905,4.702000141
OECD members,8.334794677,7.95877354,7.939004489,7.904547886,7.358733748,6.77423744,6.323831346,5.744088793
Panama,3.713000059,2.311199903,2.390599966,2.300499916,2.722800016,3.00180006,3.314599991,3.899800062
Philippines,3.605099916,3.592200041,3.504199982,3.49729991,3.599900007,3.067899942,2.707799911,2.551800013
Poland,9.637200356,9.631699562,10.08769989,10.32590008,8.989800453,7.500999928,6.16079998,4.88740015
Portugal,10.76990032,12.67720032,15.52680016,16.1833992,13.89410019,12.44439983,11.06620026,8.866999626
West Bank and Gaza,23.77129936,20.86289978,22.88809967,23.33069992,27.01329994,26.01339912,27.07519913,28.41900063
Post-demographic dividend,8.327708327,7.965372173,8.018040533,7.931040178,7.409273147,6.823509927,6.445032158,5.867739989
Qatar,0.449999988,0.560000002,0.479999989,0.280000001,0.200000003,0.170000002,0.150000006,0.140000001
Romania,6.959199905,7.177400112,6.793700218,7.096000195,6.802100182,6.811800003,5.901400089,4.92689991
Russian Federation,7.368800163,6.53550005,5.436299801,5.457699776,5.160099983,5.570899963,5.55880022,5.212299824
Saudi Arabia,5.550000191,5.769999981,5.519999981,5.570000172,5.71999979,5.590000153,5.650000095,5.889999866
Singapore,4.119999886,3.890000105,3.720000029,3.859999895,3.74000001,3.789999962,4.079999924,4.199999809
El Salvador,4.893199921,4.297299862,3.843100071,3.692600012,4.153999805,3.998300076,4.418300152,4.385000229
Serbia,19.21759987,22.96619987,23.99990082,22.15369987,19.22340012,17.65970039,15.25739956,13.47700024
Slovak Republic,14.37940025,13.61740017,13.96329975,14.22049999,13.18410015,11.48079967,9.670200348,8.130999565
Slovenia,7.236199856,8.166000366,8.840200424,10.10229969,9.667599678,8.962300301,8.000100136,6.564400196
Sweden,8.609700203,7.804100037,7.975699902,8.052100182,7.953499794,7.431600094,6.989999771,6.718299866
Europe & Central Asia (IDA & IBRD countries),8.60385649,7.833909599,7.310366131,7.467528297,7.371238361,7.44578515,7.397599618,7.043369476
Middle East & North Africa (IDA & IBRD countries),10.98340129,11.67632397,11.91103141,11.45008197,11.42941573,11.80522329,11.80922261,12.44518153
Turkey,10.65970039,8.795900345,8.149499893,8.731900215,9.879799843,10.23600006,10.83860016,10.81919956
Ukraine,8.100000381,7.851399899,7.528800011,7.170000076,9.270000458,9.140000343,9.350000381,9.510000229
Uruguay,7.158199787,6.307099819,6.451300144,6.443699837,6.547399998,7.48789978,7.840600014,7.8895998
United States,9.633399963,8.949199677,8.069399834,7.374899864,6.167500019,5.28000021,4.86920023,4.355199814
Uzbekistan,5.360000134,4.960000038,4.869999886,4.860000134,5.090000153,5.150000095,5.159999847,5.829999924
Vietnam,1.113600016,1.87530005,1.675999999,1.976699948,1.87349999,2.124599934,2.083400011,2.053499937
South Africa,24.6928997,24.65299988,24.73159981,24.56879997,24.89760017,25.15600014,26.55069923,27.07110023
